,Date,Team,Acquired,Relinquished,Notes
2659,10/30/1997,Rockets,, Serge Zwikker,placed on IR with chronic pain in lower right leg
2660,10/30/1997,Sonics,, James Cotton,placed on IL with sprained right knee
2661,10/30/1997,Sonics,, Nate McMillan,placed on IL recovering from surgery on right knee to repair partially torn meniscus
2662,10/30/1997,Sonics,, Stephen Howard,placed on IR with stress fracture in right foot
2663,10/30/1997,Spurs,, Charles Smith (Daniel),placed on IR with osteoarthritis in right knee
2664,10/30/1997,Spurs,, Chuck Person,placed on IL with sore lower back
2665,10/30/1997,Suns,, Loren Meyer,placed on IR with lumbar spine surgery
2666,10/30/1997,Suns,, Tom Chambers,placed on IL with strained lower back
2667,10/30/1997,Timberwolves,, Bill Curley,placed on IR with thigh injury
2668,10/30/1997,Timberwolves,, Micheal Williams,placed on IL with hamstring injury
2669,10/30/1997,Timberwolves,, Paul Grant,placed on IR with sprained right midfoot
2670,10/30/1997,Warriors,, Brian Shaw,placed on IL with left Achilles tendinitis
2671,10/30/1997,Warriors,, David Vaughn (III),placed on IL with right knee tendinitis
2672,10/30/1997,Warriors,, Marcus Mann,placed on IL with strained lower back
2611,10/29/1997,Bucks,, Andrew Lang,placed on IL with torn flexor tendon in right ring finger
2612,10/29/1997,Bullets,, Gheorghe Muresan,placed on IR with stretched ligaments in left knee
2613,10/29/1997,Bullets,, Tim Legler,placed on IR with injured right hamstring
2614,10/29/1997,Nets,, Don MacLean,placed on IL with left knee tendinitis
2615,10/29/1997,Nets,, Jack Haley,placed on IL with ruptured soleus tendon in right calf
2616,10/29/1997,Nets,, Steve Henson,placed on IL with fractured left ring finger
2608,10/28/1997,Pacers,, Austin Croshere,placed on IR with fractured bone in left hand
2609,10/28/1997,Pacers,, Derrick McKey,placed on IL with ruptured right Achilles tendon
2610,10/28/1997,Pacers,, Haywoode Workman,placed on IR with left knee surgery
2607,4/27/1997,Cavaliers, Carl Thomas,,activated from IL
2544,4/20/1997,76ers, Don MacLean,,activated from IL
2545,4/20/1997,76ers, Lucious Harris,,activated from IL
2546,4/20/1997,76ers, Rex Walters,,activated from IL
2547,4/20/1997,Blazers, Marcus Brown,,activated from IL
2548,4/20/1997,Bulls, Bill Wennington,,activated from IL
2549,4/20/1997,Bulls, Dennis Rodman,,activated from IL
2550,4/20/1997,Bulls, Toni Kukoc,,activated from IL
2551,4/20/1997,Cavaliers, Zydrunas Ilgauskas,,activated from IL
2552,4/20/1997,Celtics, Dana Barros,,activated from IL
2553,4/20/1997,Celtics, Dino Radja,,activated from IL
2554,4/20/1997,Celtics, Frank Brickowski,,activated from IL
2555,4/20/1997,Celtics, Greg Minor,,activated from IL
2556,4/20/1997,Celtics, Pervis Ellison,,activated from IL
2557,4/20/1997,Clippers, Dwayne Schintzius,,activated from IL
2558,4/20/1997,Clippers, Kevin Duckworth,,activated from IL
2559,4/20/1997,Clippers, Stanley Roberts,,activated from IL
2560,4/20/1997,Grizzlies, Doug Edwards,,activated from IL
2561,4/20/1997,Grizzlies, Eric Mobley,,activated from IL
2562,4/20/1997,Grizzlies, George Lynch,,activated from IL
2563,4/20/1997,Hawks, Ken Norman,,activated from IL
2564,4/20/1997,Heat, Bruce Bowen,,activated from IL
2565,4/20/1997,Heat, Gary Grant,,activated from IL
2566,4/20/1997,Heat, Matt Fish,,activated from IL
2567,4/20/1997,Kings, Duane Causwell,,activated from IL
2568,4/20/1997,Kings, Kevin Gamble,,activated from IL
2569,4/20/1997,Knicks, Dontae' Jones,,activated from IL
2570,4/20/1997,Lakers, George McCloud,,activated from IL
2571,4/20/1997,Magic, Amal McCaskill,,activated from IL
2572,4/20/1997,Mavericks, Kurt Thomas,,activated from IL
2573,4/20/1997,Mavericks, Samaki Walker,,activated from IL
2574,4/20/1997,Nets, David Benoit,,activated from IL
2575,4/20/1997,Nets, Jayson Williams,,activated from IL
2576,4/20/1997,Nets, Reggie Williams,,activated from IL
2577,4/20/1997,Nuggets, Keith Jennings,,activated from IL
2578,4/20/1997,Nuggets, LaPhonso Ellis,,activated from IL
2579,4/20/1997,Nuggets, Sarunas Marciulionis,,activated from IL
2580,4/20/1997,Pacers, Derrick McKey,,activated from IL
2581,4/20/1997,Pacers, Haywoode Workman,,activated from IL
2582,4/20/1997,Pacers, LaSalle Thompson,,activated from IL
2583,4/20/1997,Pistons, Joe Dumars,,activated from IL
2584,4/20/1997,Pistons, Randolph Childress,,activated from IL
2585,4/20/1997,Pistons, Rick Mahorn,,activated from IL
2586,4/20/1997,Raptors, Hubert Davis,,activated from IL
2587,4/20/1997,Raptors, Oliver Miller,,activated from IL
2588,4/20/1997,Raptors, Zan Tabak,,activated from IL
2589,4/20/1997,Rockets, Brent Price,,activated from IL
2590,4/20/1997,Rockets, Emanual Davis,,activated from IL
2591,4/20/1997,Rockets, Sam Mack,,activated from IL
2592,4/20/1997,Sonics, Craig Ehlo,,activated from IL
2593,4/20/1997,Sonics, Nate McMillan,,activated from IL
2594,4/20/1997,Spurs, Chuck Person,,activated from IL
2595,4/20/1997,Spurs, David Robinson,,activated from IL
2596,4/20/1997,Suns, Ben Davis,,activated from IL
2597,4/20/1997,Suns, Mark Bryant,,activated from IL
2598,4/20/1997,Suns, Tony Dumas,,activated from IL
2599,4/20/1997,Timberwolves, Bill Curley,,activated from IL
2600,4/20/1997,Timberwolves, Chris Carr (Dean),,activated from IL
2601,4/20/1997,Timberwolves, Micheal Williams,,activated from IL
2602,4/20/1997,Warriors, B.J. Armstrong,,activated from IL
2603,4/20/1997,Warriors, Jon Koncak,,activated from IL
2604,4/20/1997,Warriors, Marcus Mann,,activated from IL
2605,4/20/1997,Warriors, Mike Peplowski,,activated from IL
2606,4/20/1997,Warriors, Vernell Coles / Bimbo Coles,,activated from IL
2542,4/19/1997,Sonics,, Nate McMillan,placed on IL with partially torn meniscus in right knee
2543,4/19/1997,Sonics, Steve Scheffler,,activated from IL
2541,4/17/1997,Pistons,, Joe Dumars,placed on IR with bilateral sore hamstrings
2539,4/16/1997,Bullets, Lorenzo Williams,,activated from IL
2540,4/16/1997,Cavaliers, Bobby Phills,,activated from IL
2535,4/15/1997,Cavaliers,, Carl Thomas,placed on IL with neck spasms
2536,4/15/1997,Magic,, Amal McCaskill,placed on IL with strained right elbow
2537,4/15/1997,Sonics,, Craig Ehlo,placed on IL with sore right knee
2538,4/15/1997,Sonics, Greg Graham,,activated from IL
2532,4/14/1997,Kings,, Kevin Gamble,placed on IR with strained back
2533,4/14/1997,Kings, Jeff Grayer,,activated from IL
2534,4/14/1997,Magic, David Vaughn (III),,activated from IL
2530,4/12/1997,Bulls,, Toni Kukoc,placed on IL with plantar fasciatis right foot
2531,4/12/1997,Pacers, Darvin Ham,,activated from IL
2527,4/11/1997,Lakers,, George McCloud,placed on IL with strained lower back
2528,4/11/1997,Lakers, Shaquille O'Neal,,activated from IL
2529,4/11/1997,Pacers,, Derrick McKey,placed on IR with ruptured Achilles tendon
2526,4/9/1997,Hawks,, Darrin Hancock,bruised left thigh (DTD)
2523,4/8/1997,Hornets, Anthony Mason (Sr.),,activated from IL
2524,4/8/1997,Mavericks,, Samaki Walker,placed on IL with sprained right foot
2525,4/8/1997,Mavericks, Erick Strickland,,activated from IL
2520,4/5/1997,76ers,, Lucious Harris,placed on IR with broken nose
2521,4/5/1997,Nuggets,, LaPhonso Ellis,placed on IL with ruptured right Achilles tendon
2522,4/5/1997,Suns,, Ben Davis,placed on IR with jammed right index finger
2518,4/4/1997,Kings,, Duane Causwell,placed on IL with strained left calf
2519,4/4/1997,Kings, Kevin Salvadori,,activated from IL
2516,4/3/1997,Pacers,, LaSalle Thompson,placed on IL with sprained left big toe
2517,4/3/1997,Pacers, Derrick McKey,,activated from IL
2511,4/2/1997,76ers,, Rex Walters,placed on IL with sprained right ankle
2512,4/2/1997,76ers, Adrian Caldwell,,activated from IL
2513,4/2/1997,Bulls,, Bill Wennington,placed on IL with torn plantar fascia in right foot
2514,4/2/1997,Lakers, Robert Horry,,activated from IL
2515,4/2/1997,Raptors, John Long,,activated from IL
2505,4/1/1997,Clippers,, Dwayne Schintzius,placed on IR with gastrointestinal disorder
2506,4/1/1997,Heat,, Bruce Bowen,place on IR with right knee patella tendinitis
2507,4/1/1997,Heat, Dan Majerle,,activated from IL
2508,4/1/1997,Mavericks, Predrag Danilovic / Sasha Danilovic,,activated from IL
2509,4/1/1997,Raptors,, Oliver Miller,placed on IL with sprained left ankle
2510,4/1/1997,Sonics, Detlef Schrempf,,activated from IL
2501,3/31/1997,Heat,, Bruce Bowen,placed on IL with right knee patella tendinitis
2502,3/31/1997,Rockets,, Sam Mack,placed on IL with bruised left foot
2503,3/31/1997,Rockets, Charles Jones (b. 1957-04-03),,activated from IL
2504,3/31/1997,Sonics,, Greg Graham,placed on IL with strained right knee
2499,3/30/1997,Bucks, Andrew Lang,,activated from IL
2500,3/30/1997,Cavaliers, Carl Thomas,,activated from IL
2497,3/27/1997,Bulls, Toni Kukoc,,activated from IL
2498,3/27/1997,Cavaliers,, Bobby Phills,placed on IL with strained left groin
2495,3/26/1997,Bullets, Tim Legler,,activated from IL
2496,3/26/1997,Bulls,, Dennis Rodman,placed on IR with sprained left medial collateral ligament
2493,3/25/1997,Suns,, Mark Bryant,placed on IR with injured right foot
2494,3/25/1997,Suns, Loren Meyer,,activated from IL
2487,3/23/1997,Hawks,, Darrin Hancock,DNP car accident
2488,3/23/1997,Heat, Alonzo Mourning,,activated from IL
2489,3/23/1997,Magic,, David Vaughn (III),placed on IR with right quadricep tendinitis
2490,3/23/1997,Magic, Amal McCaskill,,activated from IL
2491,3/23/1997,Raptors,, Hubert Davis,placed on IL with sprained left ankle
2492,3/23/1997,Raptors, Martin Lewis,,activated from IL
2484,3/22/1997,Heat,, Matt Fish,placed on IL with strained lower back
2485,3/22/1997,Hornets,, Anthony Mason (Sr.),placed on IR with torn plantar fascia in foot
2486,3/22/1997,Hornets, Tom Chambers,,activated from IL
2483,3/20/1997,Mavericks,, Erick Strickland,placed on IR with sprained right thumb
2482,3/19/1997,Warriors,, Vernell Coles / Bimbo Coles,placed on IL with right inguinal hernia
2481,3/18/1997,Timberwolves,, Chris Carr (Dean),placed on IR with bursitis in left ankle
2480,3/17/1997,Hawks,, Dikembe Mutombo,birth of child (DNP)
2479,3/15/1997,Spurs, Charles Smith (Daniel),,activated from IL
2475,3/13/1997,Kings,, Jeff Grayer,placed on IR with sprained right index finger
2476,3/13/1997,Kings, Duane Causwell,,activated from IL
2477,3/13/1997,Suns,, Loren Meyer,placed on IL with strained lower back
2478,3/13/1997,Suns, Ben Davis,,activated from IL
2474,3/11/1997,Celtics,, Greg Minor,placed on IL with right foot injury
2472,3/9/1997,76ers,, Don MacLean,placed on IL with sprained left ankle
2473,3/9/1997,76ers, Mark Hendrickson,,activated from IL
2468,3/7/1997,Blazers,, Marcus Brown,placed on IR with left groin strain
2469,3/7/1997,Blazers, Mitchell Butler,,activated from IL
2470,3/7/1997,Bulls, Bill Wennington,,activated from IL (date 03-04 per Bulls media guide)
2471,3/7/1997,Sonics, David Wingate,,activated from IL
2465,3/5/1997,Jazz, Adam Keefe,,activated from IL
2466,3/5/1997,Kings,, Kevin Salvadori,placed on IL with left knee patella tendinitis
2467,3/5/1997,Kings, Brian Grant,,activated from IL
2458,3/4/1997,76ers,, Adrian Caldwell,placed on IR with bursitis in right foot
2459,3/4/1997,76ers, Mark Bradtke,,activated from IL
2460,3/4/1997,Bullets,, Lorenzo Williams,placed on IR with tendinitis in left quadricep
2461,3/4/1997,Bullets, Ben Wallace,,activated from IL
2462,3/4/1997,Nets,, Jayson Williams,placed on IR with ruptured ligament in right thumb
2463,3/4/1997,Nets, Yinka Dare,,activated from IL
2464,3/4/1997,Nuggets, Kenny Smith,,activated from IL
2455,3/3/1997,Bulls,, Toni Kukoc,placed on IL with sprained right foot
2456,3/3/1997,Rockets,, Brent Price,placed on IR with torn ACL in right knee
2457,3/3/1997,Rockets, Clyde Drexler,,activated from IL
2452,3/2/1997,Heat,, Alonzo Mourning,placed on IL with torn tendon in right foot
2453,3/2/1997,Suns,, Ben Davis,placed on IR with jammed right pinky finger
2454,3/2/1997,Suns, Rex Chapman,,activated from IL
2451,2/26/1997,Sonics,, Detlef Schrempf,placed on IR with partial tear of peroneal tendon in right foot
2446,2/25/1997,Hornets,, Tom Chambers,placed on IL with left Achilles tendinitis
2447,2/25/1997,Hornets, Matt Geiger,,activated from IL
2448,2/25/1997,Mavericks,, Predrag Danilovic / Sasha Danilovic,placed on IL with sprained left ankle
2449,2/25/1997,Sonics,, David Wingate,placed on IR with strained adductor muscle in right thigh
2450,2/25/1997,Sonics, Greg Graham,,activated from IL
2444,2/24/1997,Bulls, Randy Brown,,activated from IL
2445,2/24/1997,Hawks, Tyrone Corbin,,activated from IL
2438,2/23/1997,Blazers,, Mitchell Butler,placed on IR with build-up of fluid in left knee
2439,2/23/1997,Bulls,, Bill Wennington,placed on IL with plantar fasciatis in left foot
2440,2/23/1997,Grizzlies,, Eric Mobley,placed on IL with strained right groin
2441,2/23/1997,Grizzlies, Chris Robinson,,activated from IL
2442,2/23/1997,Hawks,, Ken Norman,placed on IR with sore/strained back
2443,2/23/1997,Pacers, Brent Scott,,activated from IL
2434,2/22/1997,Jazz,, Adam Keefe,placed on IR with bruised left hamstring
2435,2/22/1997,Jazz, Jamie Watson,,activated from IL
2436,2/22/1997,Warriors,, B.J. Armstrong,placed on IL with torn cartilage in left knee
2437,2/22/1997,Warriors, Lou Roe,,activated from IL
2429,2/21/1997,Bucks,, Andrew Lang,placed on IL with right Achilles tendinitis
2430,2/21/1997,Kings,, Duane Causwell,placed on IR with right hip pointer
2431,2/21/1997,Kings, Kevin Salvadori,,activated from IL
2432,2/21/1997,Mavericks,, Predrag Danilovic / Sasha Danilovic,placed on IL with sprained left ankle
2433,2/21/1997,Nuggets,, Kenny Smith,placed on IL with right patella tendinitis
2426,2/20/1997,Hornets, Anthony Goldwire,,activated from IL
2427,2/20/1997,Nets,, Yinka Dare,placed on IL
2428,2/20/1997,Pacers,, Darvin Ham,placed on IL with patella tendinitis in left knee
2423,2/19/1997,Blazers, Arvydas Sabonis,,activated from IL
2424,2/19/1997,Bullets,, Tim Legler,placed on IL with strained right knee
2425,2/19/1997,Pistons, Grant Long,,activated from IL
2418,2/18/1997,Clippers,, Kevin Duckworth,placed on IL with sore left foot
2419,2/18/1997,Clippers, Dwayne Schintzius,,activated from IL
2420,2/18/1997,Lakers,, Robert Horry,placed on IL with sprained MCL in left knee
2421,2/18/1997,Pistons,, Randolph Childress,placed on IL with strained left groin
2422,2/18/1997,Pistons, Reggie Jordan,,activated from IL
2414,2/17/1997,Mavericks, Samaki Walker,,activated from IL
2415,2/17/1997,Nets,, Reggie Williams,placed on IR with calcium deposits in left calf
2416,2/17/1997,Nets, Robert Pack,,activated from IL
2417,2/17/1997,Timberwolves, Virginius Praskevicius,,activated from IL
2413,2/16/1997,Mavericks,, Kurt Thomas,placed on IL with sprained right ankle
2411,2/15/1997,Hawks,, Tyrone Corbin,placed on IR with strained back
2412,2/15/1997,Hawks, Alan Henderson,,activated from IL
2407,2/14/1997,Bullets, Lorenzo Williams,,activated from IL
2408,2/14/1997,Hawks,, Ken Norman,flu (day-to-day)
2409,2/14/1997,Heat, Kurt Thomas,,activated from IL
2410,2/14/1997,Suns, Jason Kidd,,activated from IL
2400,2/13/1997,Bullets,, Ben Wallace,placed on IL with left patella tendinitis
2401,2/13/1997,Clippers, Kevin Duckworth,,activated from IL
2402,2/13/1997,Hornets,, Anthony Goldwire,placed on IR with pulled groin
2403,2/13/1997,Hornets, Scott Burrell,,activated from IL
2404,2/13/1997,Lakers,, Shaquille O'Neal,placed on IR with torn collateral ligament in left knee
2405,2/13/1997,Raptors,, John Long,placed on IL with strained lower back
2406,2/13/1997,Raptors, Earl Cureton,,activated from IL
2394,2/12/1997,Clippers,, Stanley Roberts,placed on IR with ruptured disk in lower back
2395,2/12/1997,Lakers, Corie Blount,,activated from IL
2396,2/12/1997,Pacers,, Derrick McKey,placed on IL with stress fracture in left foot
2397,2/12/1997,Pacers, Vincent Askew,,activated from IL
2398,2/12/1997,Warriors,, Lou Roe,placed on IL with strained right hamstring
2399,2/12/1997,Warriors, Mark Price,,activated from IL
2383,2/11/1997,Bulls,, Randy Brown,placed on IL with bone spurs in left ankle / synovitis (P)
2384,2/11/1997,Kings,, Kevin Salvadori,placed on IL with left knee patella tendinitis
2385,2/11/1997,Kings, Billy Owens,,activated from IL
2386,2/11/1997,Nets,, Robert Pack,placed on IL with sprained left ankle
2387,2/11/1997,Nets, Kevin Edwards,,activated from IL
2388,2/11/1997,Nets, Reggie Williams,,activated from IL
2389,2/11/1997,Pistons,, Reggie Jordan,placed on IR with fractured left hand
2390,2/11/1997,Pistons, Litterial Green,,activated from IL
2391,2/11/1997,Rockets,, Charles Jones (b. 1957-04-03),placed on IL with sprained right ankle
2392,2/11/1997,Sonics,, Greg Graham,placed on IL with right patella tendinitis
2393,2/11/1997,Sonics, Nate McMillan,,activated from IL
2381,2/10/1997,Celtics,, Dana Barros,placed on IL with bone spurs in left ankle
2382,2/10/1997,Grizzlies,, Chris Robinson,placed on IL with back spasms (hamstring tendinitis per Stats)
2378,2/6/1997,Bullets, Tim Legler,,activated from IL
2379,2/6/1997,Rockets,, Clyde Drexler,placed on IL with strained left hamstring
2380,2/6/1997,Rockets, Tracy Moore,,activated from IL
2375,2/4/1997,76ers,, Mark Bradtke,placed on IR with lumbar spine sprain
2376,2/4/1997,76ers, Scott Williams,,activated from IL
2377,2/4/1997,Blazers, Rasheed Wallace,,activated from IL
2374,2/3/1997,Bulls,, Toni Kukoc,placed on IL with plantar fasciatis in right foot
2372,2/1/1997,Raptors,, Martin Lewis,placed on IR with bruised right forearm
2373,2/1/1997,Raptors, Hubert Davis,,activated from IL
2369,1/31/1997,Celtics,, Frank Brickowski,placed on IR with injured right shoulder
2370,1/31/1997,Celtics, Steve Hamer,,activated from IL
2371,1/31/1997,Suns,, Rex Chapman,placed on IR with fractured right index finger
2365,1/30/1997,Hornets, Carlos Strong,,activated from IL
2366,1/30/1997,Jazz, Shandon Anderson,,activated from IL
2367,1/30/1997,Kings,, Billy Owens,placed on IL with sprained right ankle
2368,1/30/1997,Kings, Lionel Simmons,,activated from IL
2364,1/29/1997,Bullets,, Lorenzo Williams,placed on IR with tendinitis in left quadricep
2358,1/28/1997,76ers,, Mark Hendrickson,placed on IR with lumbar spine sprain
2359,1/28/1997,76ers, Derrick Coleman,,activated from IL
2360,1/28/1997,Clippers,, Dwayne Schintzius,placed on IL with strained lower back
2361,1/28/1997,Clippers, Stanley Roberts,,activated from IL
2362,1/28/1997,Pacers,, Vincent Askew,placed on IR with cartilage damage in both knees
2363,1/28/1997,Pacers, Duane Ferrell,,activated from IL
2357,1/27/1997,76ers, Mark Davis (Anthony),,activated from IL
2355,1/26/1997,Heat,, Kurt Thomas,placed on IL with sprained right ankle
2356,1/26/1997,Heat, Ed Pinckney,,activated from IL
2352,1/24/1997,Blazers,, Arvydas Sabonis,placed on IL with bruised left calf
2353,1/24/1997,Blazers, Reggie Jordan,,activated from IL
2354,1/24/1997,Pistons,, Litterial Green,placed on IR with groin pull
2348,1/23/1997,Bulls, Ron Harper (Sr.),,activated from IL
2349,1/23/1997,Grizzlies,, George Lynch,placed on IR with lower abdominal strain
2350,1/23/1997,Warriors,, Mark Price,placed on IR with fractured navicular bone in right wrist
2351,1/23/1997,Warriors, Lou Roe,,activated from IL
2344,1/22/1997,Magic,, Amal McCaskill,placed on IR with bruised right calf
2345,1/22/1997,Magic, Brian Evans,,activated from IL
2346,1/22/1997,Pistons,, Grant Long,placed on IL with sprained right ankle
2347,1/22/1997,Raptors,, Zan Tabak,placed on IR with plantar fasciitis in left heel
2341,1/20/1997,Grizzlies, Greg Anthony,,activated from IL
2342,1/20/1997,Hawks,, Ken Norman,flu (DTD)
2343,1/20/1997,Nets, Xavier McDaniel,,activated from IL
2340,1/19/1997,Nets,, Reggie Williams,placed on IR with sore left leg
2339,1/18/1997,76ers,, Mark Davis (Anthony),placed on IL with sprained left foot
2334,1/17/1997,Grizzlies,, Greg Anthony,placed on IL with sprained right ankle
2335,1/17/1997,Pacers,, Duane Ferrell,placed on IR with pulled left calf muscle
2336,1/17/1997,Pacers, Fred Hoiberg,,activated from IL
2337,1/17/1997,Rockets,, Tracy Moore,placed on IL with strained lower back
2338,1/17/1997,Rockets, Charles Jones (b. 1957-04-03),,activated from IL
2333,1/15/1997,Jazz,, Jamie Watson,placed on IL with sprained right knee
2329,1/14/1997,Bulls,, Ron Harper (Sr.),placed on IL with sore back
2330,1/14/1997,Bulls, Luc Longley,,activated from IL
2331,1/14/1997,Celtics,, Dino Radja,placed on IR with left patella surgery
2332,1/14/1997,Celtics, Dana Barros,,activated from IL
2325,1/13/1997,76ers, Mark Hendrickson,,activated from IL
2326,1/13/1997,Cavaliers, Shawnelle Scott,,activated from IL
2327,1/13/1997,Warriors,, Lou Roe,placed on IL with sprained right foot
2328,1/13/1997,Warriors, Donald Royal,,activated from IL
2319,1/12/1997,76ers,, Scott Williams,placed on IL with broken toe on left foot and lacerated left foot
2320,1/12/1997,Cavaliers,, Carl Thomas,placed on IL with strained left rotator cuff
2321,1/12/1997,Hornets,, Matt Geiger,placed on IL with surgery to repait herniated disc (out 8 weeks)
2322,1/12/1997,Raptors,, Earl Cureton,placed on IL with right knee tendinitis
2323,1/12/1997,Suns,, Tony Dumas,placed on IL with bruised right knee
2324,1/12/1997,Suns, Ben Davis,,activated from IL
2316,1/10/1997,Lakers,, Corie Blount,placed on IL with torn ligament in right thumb
2317,1/10/1997,Lakers, Cedric Ceballos,,activated from IL
2318,1/10/1997,Sonics,, Steve Scheffler,placed on IL with torn plantar fascia in right foot
2314,1/9/1997,76ers,, Derrick Coleman,placed on IR with lacerated left pinky
2315,1/9/1997,Nets,, David Benoit,placed on IR with Achilles tendon injury
2308,1/8/1997,Bucks, Jerald Honeycutt,,activated from IL
2309,1/8/1997,Grizzlies, Chris Robinson,,activated from IL
2310,1/8/1997,Heat,, Dan Majerle,placed on IL with strained lower back
2311,1/8/1997,Mavericks,, Samaki Walker,placed on IL with sprained left ankle
2312,1/8/1997,Mavericks, Fred Roberts,,activated from IL
2313,1/8/1997,Warriors,, Lou Roe,placed on IL with sprained right foot
2301,1/7/1997,Hawks, Tyrone Corbin,,activated from IL
2302,1/7/1997,Heat, Tony Farmer,,activated from IL
2303,1/7/1997,Nets, David Benoit,,activated from IL
2304,1/7/1997,Pacers,, Fred Hoiberg,placed on IL with back spasms
2305,1/7/1997,Pacers, Rik Smits,,activated from IL
2306,1/7/1997,Hawks, Willie Burton,,activated from IL
2307,1/7/1997,Mavericks, Erick Strickland,,activated from IL
2295,1/6/1997,Heat,, Gary Grant,placed on IL with lower back spasms
2296,1/6/1997,Magic, Anfernee Hardaway / Penny Hardaway,,activated from IL
2297,1/6/1997,Sonics, Steve Scheffler,,activated from IL
2298,1/6/1997,Heat, James Scott,,activated from IL
2299,1/6/1997,Knicks, Chris Jent,,activated from IL
2300,1/6/1997,Knicks, Eric Leckner,,activated from IL
2294,1/5/1997,Pistons,, Rick Mahorn,placed on IL with sprained right foot
2293,1/4/1997,Pistons, Jerome Williams,,activated from IL
2286,1/3/1997,76ers,, Mark Hendrickson,placed on IR with lumbar spine sprain
2287,1/3/1997,76ers, Don MacLean,,activated from IL
2288,1/3/1997,Celtics,, Dana Barros,placed on IL with sore left ankle
2289,1/3/1997,Celtics, Dee Brown (a),,activated from IL
2290,1/3/1997,Nets,, Xavier McDaniel,placed on IL with strained hamstring
2291,1/3/1997,Nets, Reggie Williams,,activated from IL
2292,1/3/1997,Suns, Darrin Hancock,,activated from IL
2281,1/2/1997,Bullets, Lorenzo Williams,,activated from IL
2282,1/2/1997,Cavaliers,, Mitchell Butler,placed on IR with back surgery (out for season)
2283,1/2/1997,Heat,, James Scott,placed on IL with bruised left knee
2284,1/2/1997,Heat, Dan Majerle,,activated from IL
2285,1/2/1997,Hornets,, Matt Geiger,placed on IL with back spasms
2280,12/31/1996,Hawks,, Willie Burton,placed on IR with torn left calf muscle
2275,12/30/1996,Grizzlies, Greg Anthony,,activated from IL
2276,12/30/1996,Jazz,, Shandon Anderson,placed on IL with stress fracture in left foot
2277,12/30/1996,Suns,, Jason Kidd,placed on IL with hairline fracture in right collarbone
2278,12/30/1996,Suns, Wayman Tisdale,,activated from IL
2279,12/30/1996,Grizzlies, Martyn Norris / Moochie Norris,,activated from IL
2274,12/28/1996,Nuggets, Ricky Pierce,,activated from IL
2267,12/27/1996,Blazers,, Reggie Jordan,placed on IR with broken finger
2268,12/27/1996,Blazers, Aleksandar Djordjevic,,activated from IL
2269,12/27/1996,Blazers, Marcus Brown,,activated from IL
2270,12/27/1996,Clippers,, Kevin Duckworth,placed on IR with plantar fasciaitis in left foot
2271,12/27/1996,Clippers, Dwayne Schintzius,,activated from IL
2272,12/27/1996,Hornets,, Scott Burrell,placed on IL with torn cartilage in right knee
2273,12/27/1996,Hornets, Rafael Addison,,activated from IL
2260,12/26/1996,Blazers,, Rasheed Wallace,placed on IL with fractured left thumb
2261,12/26/1996,Blazers, Dontonio Wingfield,,activated from IL
2262,12/26/1996,Raptors, Marcus Camby,,activated from IL
2263,12/26/1996,Rockets,, Charles Jones (b. 1957-04-03),placed on IL with strained lower back
2264,12/26/1996,Rockets, Brent Price,,activated from IL
2265,12/26/1996,Sonics,, Steve Scheffler,placed on IL with plantar fasciatis in right foot
2266,12/26/1996,Sonics, Antonio Harvey,,activated from IL
2259,12/24/1996,Spurs,, David Robinson,placed on IR with broken left foot
2257,12/22/1996,Warriors,, Donald Royal,placed on IR with broken bone in left pinky finger
2258,12/22/1996,Warriors, Lou Roe,,activated from IL
2249,12/21/1996,Celtics,, Dee Brown (a),placed on IL with strained lower back
2250,12/21/1996,Celtics, Alton Lister,,activated from IL
2251,12/21/1996,Grizzlies,, Chris Robinson,placed on IL with hamstring tendinitis
2252,12/21/1996,Hawks,, Donnie Boyce,flu (DTD)
2253,12/21/1996,Heat,, Dan Majerle,placed on IL with strained lower back
2254,12/21/1996,Heat, Martin Muursepp,,activated from IL
2255,12/21/1996,Kings,, Lionel Simmons,placed on IL with surgery on right knee
2256,12/21/1996,Rockets, Sam Mack,,activated from IL
2245,12/20/1996,Blazers,, Aleksandar Djordjevic,placed on IL with flu
2246,12/20/1996,Blazers, Reggie Jordan,,activated from IL
2247,12/20/1996,Hawks,, Ken Norman,personal reasons (day-to-day)
2248,12/20/1996,Hawks,, Tyrone Corbin,placed on IL with sprained right ankle
2243,12/18/1996,Magic,, Anfernee Hardaway / Penny Hardaway,placed on IR with tendinitis in back of left knee
2244,12/18/1996,Spurs,, Charles Smith (Daniel),placed on IR with synoviltis (tendinitis per Stats) in right knee
2240,12/17/1996,Bulls, Thomas Hamilton,,activated from IL
2241,12/17/1996,Grizzlies, Theodore Edwards / Blue Edwards,,activated from IL
2242,12/17/1996,Raptors, Zan Tabak,,activated from IL
2239,12/16/1996,Lakers, Trevor Wilson,,activated from IL
2238,12/15/1996,Raptors,, Marcus Camby,placed on IL with sprained lower back
2235,12/14/1996,Heat, Kurt Thomas,,activated from IL
2236,12/14/1996,Sonics,, Nate McMillan,placed on IL with torn right adductor muscle
2237,12/14/1996,Sonics, Steve Scheffler,,activated from IL
2232,12/13/1996,Blazers,, Dontonio Wingfield,placed on IL with sprained left thumb
2233,12/13/1996,Blazers, Mitchell Butler,,activated from IL
2234,12/13/1996,Heat,, Ed Pinckney,placed on IL with right knee injury
2228,12/11/1996,Rockets,, Sam Mack,placed on IL with sprained left foot
