date,rot,vh,team,1st,2nd,3rd,4th,final,open,close,ml,2h,season
1125,512,H,Atlanta,32,33,35,24,124,230.5,228.5,240,113.0,2018-19
1125,513,V,Utah,30,29,32,42,133,3.0,4.0,-180,113.0,2018-19
1125,514,H,Sacramento,26,24,30,32,112,218.0,218.5,150,1.0,2018-19
1125,515,V,LAClippers,24,21,38,21,104,227.5,227.0,150,2.5,2018-19
1125,516,H,Portland,28,30,16,26,100,3.5,4.0,-180,110.5,2018-19
1126,701,V,Minnesota,29,25,21,27,102,7.0,6.0,-240,1.5,2018-19
1126,702,H,Cleveland,26,21,24,24,95,216.5,214.5,190,105.5,2018-19
1126,703,V,Milwaukee,35,17,28,27,107,4.5,4.5,-200,7.0,2018-19
1126,704,H,Charlotte,32,33,28,17,110,236.5,234.0,170,120.0,2018-19
1126,705,V,Houston,42,23,33,27,131,3.5,223.0,105,110.5,2018-19
1126,706,H,Washington,30,37,27,31,135,225.5,1.5,-125,,2018-19
1126,707,V,SanAntonio,27,25,28,28,108,6.0,6.5,-280,3.5,2018-19
1126,708,H,Chicago,27,23,33,24,107,213.5,215.0,230,111.0,2018-19
1126,709,V,Boston,34,23,32,35,124,1.5,228.0,110,117.0,2018-19
1126,710,H,NewOrleans,21,27,31,28,107,226.5,2.0,-130,4.5,2018-19
1126,711,V,Indiana,33,25,31,32,121,203.0,206.5,170,102.5,2018-19
1126,712,H,Utah,25,22,23,18,88,4.5,4.5,-200,5.5,2018-19
1126,713,V,Orlando,25,39,19,27,110,214.5,215.0,240,107.5,2018-19
1126,714,H,GoldenState,26,21,32,37,116,7.5,7.0,-300,9.0,2018-19
1127,501,V,NewYork,19,24,27,38,108,220.5,220.0,275,107.5,2018-19
1127,502,H,Detroit,24,27,30,34,115,7.0,7.5,-350,1.5,2018-19
1127,503,V,Atlanta,35,33,32,15,115,221.0,224.0,260,111.0,2018-19
1127,504,H,Miami,38,14,34,27,113,7.0,7.5,-330,8.5,2018-19
1127,505,V,Toronto,31,28,34,29,122,3.5,5.5,-250,7.0,2018-19
1127,506,H,Memphis,32,39,26,17,114,205.0,208.5,200,102.5,2018-19
1127,507,V,Indiana,26,35,20,28,109,2.5,2.5,-145,107.0,2018-19
1127,508,H,Phoenix,26,28,23,27,104,212.5,216.5,125,2.0,2018-19
1127,509,V,LALakers,26,24,21,14,85,211.5,219.0,130,1.5,2018-19
1127,510,H,Denver,30,28,31,28,117,4.0,3.0,-150,109.0,2018-19
1128,701,V,NewYork,27,21,20,23,91,227.5,227.0,750,109.5,2018-19
1128,702,H,Philadelphia,41,27,25,24,117,12.5,12.5,-1200,,2018-19
1128,703,V,Atlanta,28,21,26,19,94,233.0,231.0,650,113.0,2018-19
1128,704,H,Charlotte,24,31,31,22,108,12.0,12.0,-1000,5.5,2018-19
1128,705,V,Utah,17,26,27,31,101,3.0,3.5,-170,2.0,2018-19
1128,706,H,Brooklyn,16,26,36,13,91,216.5,215.0,145,111.0,2018-19
1128,707,V,SanAntonio,25,9,24,31,89,216.0,215.5,155,4.0,2018-19
1128,708,H,Minnesota,28,29,35,36,128,4.0,4.5,-185,110.0,2018-19
1128,709,V,Dallas,36,38,22,32,128,214.0,217.0,200,107.0,2018-19
1128,710,H,Houston,28,28,33,19,108,7.0,5.5,-250,8.0,2018-19
1128,711,V,Chicago,40,22,27,24,113,227.5,230.0,1100,117.5,2018-19
1128,712,H,Milwaukee,30,33,29,24,116,13.5,15.0,-2500,9.0,2018-19
1128,713,V,Cleveland,28,19,15,21,83,216.0,215.5,750,106.5,2018-19
1128,714,H,OklahomaCity,21,26,26,27,100,13.0,12.5,-1200,9.0,2018-19
1128,715,V,Washington,24,23,34,23,104,242.0,242.0,230,2.5,2018-19
1128,716,H,NewOrleans,31,36,31,27,125,6.0,6.5,-280,114.5,2018-19
1128,717,V,Orlando,30,33,21,28,112,212.0,215.0,400,108.0,2018-19
1128,718,H,Portland,33,22,40,20,115,8.5,10.0,-550,10.0,2018-19
1128,719,V,Phoenix,22,27,25,25,99,228.0,230.0,600,110.0,2018-19
1128,720,H,LAClippers,26,23,40,26,115,11.0,12.0,-900,8.0,2018-19
1129,501,V,GoldenState,25,33,30,31,128,226.5,223.0,375,110.0,2018-19
1129,502,H,Toronto,38,29,29,23,131,9.5,9.5,-500,3.0,2018-19
1129,503,V,LAClippers,42,29,30,32,133,2.0,2.0,-135,115.0,2018-19
1129,504,H,Sacramento,26,42,25,28,121,232.5,236.0,115,,2018-19
1129,505,V,Indiana,15,35,25,21,96,215.5,220.0,180,109.0,2018-19
1129,506,H,LALakers,38,18,27,21,104,5.0,5.0,-220,0.5,2018-19
1130,701,V,Washington,19,27,24,28,98,235.0,233.5,340,1.5,2018-19
1130,702,H,Philadelphia,31,37,30,25,123,7.5,8.5,-440,111.5,2018-19
1130,703,V,Chicago,21,19,25,23,88,216.5,217.0,340,111.5,2018-19
1130,704,H,Detroit,34,21,24,28,107,9.0,8.5,-440,,2018-19
1130,705,V,Cleveland,26,26,20,23,95,209.0,206.5,850,102.5,2018-19
1130,706,H,Boston,30,32,39,27,128,13.5,12.5,-1500,4.5,2018-19
1130,707,V,Utah,33,24,34,28,119,217.0,218.0,110,113.0,2018-19
1130,708,H,Charlotte,19,34,30,28,111,1.5,2.0,-130,2.0,2018-19
1130,709,V,Memphis,26,32,27,26,131,2.0,2.5,-145,1.5,2018-19
1130,710,H,Brooklyn,26,32,22,31,125,208.0,206.5,125,102.5,2018-19
1130,711,V,NewOrleans,17,24,34,26,101,3.0,3.0,-150,6.5,2018-19
1130,712,H,Miami,37,24,20,25,106,229.5,228.5,130,110.0,2018-19
1130,713,V,Houston,39,31,40,26,136,217.0,3.5,-180,105.0,2018-19
1130,714,H,SanAntonio,23,24,27,31,105,1.0,216.0,150,3.5,2018-19
1130,715,V,Atlanta,26,20,30,33,109,225.0,230.0,850,111.0,2018-19
1130,716,H,OklahomaCity,28,38,25,33,124,13.5,13.0,-1500,1.5,2018-19
1130,717,V,Orlando,21,30,24,24,99,1.5,4.5,-190,2.0,2018-19
1130,718,H,Phoenix,25,23,23,14,85,216.0,215.5,160,106.0,2018-19
1130,719,V,Dallas,32,26,17,28,103,221.0,223.0,150,110.0,2018-19
1130,720,H,LALakers,22,31,25,36,114,4.5,4.0,-180,3.5,2018-19
1130,721,V,Denver,38,30,23,22,113,214.5,214.5,105,106.5,2018-19
1130,722,H,Portland,26,27,32,27,112,2.5115,1.5,-125,5.0,2018-19
1201,501,V,Milwaukee,35,31,31,27,134,9.0,8.5,-425,3.5,2018-19
1201,502,H,NewYork,28,33,32,31,136,231.0,230.0,325,117.5,2018-19
1201,503,V,GoldenState,24,22,32,24,102,4.0,4.5,-210,6.0,2018-19
1201,504,H,Detroit,24,30,31,26,111,226.5,229.5,175,112.5,2018-19
1201,505,V,Brooklyn,19,20,19,30,88,226.0,227.5,225,116.0,2018-19
1201,506,H,Washington,24,18,26,34,102,4.5,6.5,-275,2.5,2018-19
1201,507,V,Boston,29,28,27,34,118,213.5,216.5,105,111.5,2018-19
1201,508,H,Minnesota,26,22,29,32,109,1.5,1.5,-125,3.5,2018-19
1201,509,V,Chicago,22,24,29,30,105,220.0,219.0,900,112.0,2018-19
1201,510,H,Houston,38,18,31,34,121,11.5,13.5,-1600,5.5,2018-19
1201,511,V,Toronto,21,26,30,29,106,13.5,12.5,-1200,5.0,2018-19
1201,512,H,Cleveland,21,19,27,28,95,217.5,213.0,750,103.5,2018-19
1201,513,V,Indiana,30,30,31,19,110,222.5,1.5,-125,0.5,2018-19
1201,514,H,Sacramento,26,32,31,22,111,,225.0,105,110.0,2018-19
1202,701,V,Phoenix,31,15,28,22,96,224.5,221.0,600,106.0,2018-19
1202,702,H,LALakers,21,40,34,25,120,11.0,12.0,-900,3.0,2018-19
1202,703,V,NewOrleans,29,36,22,32,119,235.0,232.5,130,113.5,2018-19
1202,704,H,Charlotte,30,26,21,32,109,1.5,3.0,-150,4.0,2018-19
1202,705,V,Memphis,25,19,24,27,95,212.5,212.0,225,103.5,2018-19
1202,706,H,Philadelphia,26,28,24,25,103,5.5,6.5,-275,0.5,2018-19
1202,707,V,Utah,35,20,22,23,100,3.5,4.0,-180,2.0,2018-19
1202,708,H,Miami,27,26,27,22,102,210.5,208.5,150,108.0,2018-19
1202,709,V,Portland,33,22,35,28,118,1.0,217.5,-110,2.5,2018-19
