GAME_ID,SEASON,date,HOME_TEAM_ID,VISITOR_TEAM_ID,home_points,home_fg_pct,home_ft_pct,home_fg3_pct,home_ast,home_reb,away_points,away_fg_pct,away_ft_pct,away_fg3_pct,away_ast,away_reb,home_win,point_diff,total_points,home_team_name,away_team_name,home_team_oddsname,away_team_oddsname
42100124,2021,2022-04-24,1610612741,1610612749,95.0,0.389,0.941,0.25,27.0,44.0,119.0,0.523,0.667,0.515,21.0,51.0,0,-24.0,214.0,Chicago Bulls,Milwaukee Bucks,Chicago,Milwaukee
42100164,2021,2022-04-24,1610612743,1610612744,126.0,0.562,0.806,0.484,28.0,33.0,121.0,0.5,0.719,0.353,26.0,36.0,1,5.0,247.0,Denver Nuggets,Golden State Warriors,Denver,GoldenState
42100104,2021,2022-04-24,1610612737,1610612748,86.0,0.4,0.55,0.357,18.0,41.0,110.0,0.435,0.81,0.31,22.0,48.0,0,-24.0,196.0,Atlanta Hawks,Miami Heat,Atlanta,Miami
42100144,2021,2022-04-24,1610612740,1610612756,118.0,0.471,0.762,0.25,20.0,48.0,103.0,0.506,0.667,0.259,33.0,39.0,1,15.0,221.0,New Orleans Pelicans,Phoenix Suns,NewOrleans,Phoenix
42100134,2021,2022-04-23,1610612761,1610612755,110.0,0.42,0.8,0.235,19.0,46.0,102.0,0.425,0.84,0.419,24.0,41.0,1,8.0,212.0,Toronto Raptors,Philadelphia 76ers,Toronto,Philadelphia
42100174,2021,2022-04-23,1610612762,1610612742,100.0,0.405,0.619,0.286,17.0,46.0,99.0,0.429,0.783,0.341,15.0,43.0,1,1.0,199.0,Utah Jazz,Dallas Mavericks,Utah,Dallas
42100113,2021,2022-04-23,1610612751,1610612738,103.0,0.506,0.813,0.414,25.0,33.0,109.0,0.5,0.929,0.308,26.0,34.0,0,-6.0,212.0,Brooklyn Nets,Boston Celtics,Brooklyn,Boston
42100154,2021,2022-04-23,1610612750,1610612763,119.0,0.473,0.775,0.5,23.0,34.0,118.0,0.488,0.76,0.469,31.0,39.0,1,1.0,237.0,Minnesota Timberwolves,Memphis Grizzlies,Minnesota,Memphis
42100103,2021,2022-04-22,1610612737,1610612748,111.0,0.513,0.81,0.375,23.0,36.0,110.0,0.441,0.824,0.311,30.0,45.0,1,1.0,221.0,Atlanta Hawks,Miami Heat,Atlanta,Miami
42100123,2021,2022-04-22,1610612741,1610612749,81.0,0.393,0.6,0.265,22.0,43.0,111.0,0.473,0.714,0.366,27.0,55.0,0,-30.0,192.0,Chicago Bulls,Milwaukee Bucks,Chicago,Milwaukee
